buildingid,address,borough,latitude,longitude,health_score,label,open_violation_count,class_a_count,class_b_count,class_c_count,weighted_severity,avg_resolution_days,violations_last_6mo,repeat_violation_types,component_open_count,component_severity,component_resolution_speed,component_recency,component_repeat_rate
284491,467 EAST 96 STREET,Brooklyn,40.656417,-73.9158732,71.0,Poorly managed,60,10,16,34,144,212.8,0.0,5.0,75.91836734693878,72.57142857142857,81.9702491188243,50.0,61.53846153846154
283795,220 EAST 95 STREET,Brooklyn,40.6606791,-73.9228854,71.1,Poorly managed,11,2,5,4,24,1120.0,0.0,0.0,95.91836734693877,95.42857142857143,4.738933030646997,50.0,100.0
148688,527 40 STREET,Brooklyn,40.6504009,-74.0035317,71.2,Poorly managed,14,4,9,1,25,996.0,0.0,2.0,94.6938775510204,95.23809523809523,15.295119182746886,50.0,84.61538461538461
35045,104 WEST 73 STREET,Manhattan,40.7780386,-73.978762,71.3,Poorly managed,17,8,4,5,31,1047.0,0.0,0.0,93.46938775510203,94.0952380952381,10.953461975028379,50.0,100.0
66687,441 EAST 187 STREET,Bronx,40.858224,-73.8923516,71.5,Poorly managed,77,11,52,14,157,204.8,0.0,1.0,68.9795918367347,70.0952380952381,82.65271901764524,50.0,92.3076923076923
18338,325 EAST 92 STREET,Manhattan,40.7813306,-73.9475162,71.5,Poorly managed,55,2,27,26,134,108.0,0.0,8.0,77.9591836734694,74.47619047619047,90.89103291713961,50.0,38.46153846153846
119128,2160 WALTON AVENUE,Bronx,40.8555886,-73.9042127,71.5,Poorly managed,77,6,43,24,164,228.9,0.0,0.0,68.9795918367347,68.76190476190476,80.59573065797665,50.0,100.0
669816,40-57 JUNCTION BOULEVARD,Queens,40.7476907,-73.8682233,71.7,Poorly managed,47,11,13,21,100,383.8,0.0,5.0,81.22448979591836,80.95238095238095,67.41476812064214,50.0,61.53846153846154
180961,369 87 STREET,Brooklyn,40.6224361,-74.0291603,71.9,Poorly managed,41,1,27,13,94,571.5,0.0,2.0,83.6734693877551,82.0952380952381,51.43303064699205,50.0,84.61538461538461
631641,608 BEACH 19 STREET,Queens,40.6007319,-73.7516577,72.0,Poorly managed,14,10,0,4,22,911.7,0.0,3.0,94.6938775510204,95.80952380952381,22.472278005762682,50.0,76.92307692307692
37417,315 WEST 102 STREET,Manhattan,40.7996243,-73.9711666,72.0,Poorly managed,64,16,27,21,133,64.8,0.0,7.0,74.28571428571429,74.66666666666666,94.5707567930691,50.0,46.15384615384615
68047,826 EAST 214 STREET,Bronx,40.878715,-73.8607277,72.1,Poorly managed,8,3,2,3,16,1103.0,0.0,0.0,97.14285714285714,96.95238095238096,6.186152099886499,50.0,100.0
313113,541 HINSDALE STREET,Brooklyn,40.6616421,-73.897769,72.1,Poorly managed,11,0,10,1,23,1065.0,0.0,0.0,95.91836734693877,95.61904761904762,9.421112372304208,50.0,100.0
211170,14 BOULEVARD COURT,Brooklyn,40.5915202,-73.96614,72.2,Poorly managed,14,1,7,6,33,1007.0,0.0,0.0,94.6938775510204,93.71428571428572,14.358683314415444,50.0,100.0
119084,1881 WALTON AVENUE,Bronx,40.8493569,-73.9095892,72.2,Poorly managed,82,16,49,17,165,147.1,0.0,0.0,66.93877551020408,68.57142857142857,87.56320297182954,50.0,100.0
427549,47-07 39 STREET,Queens,40.7417178,-73.9262849,72.2,Poorly managed,2,0,2,0,4,1175.7,0.0,0.0,99.59183673469387,99.23809523809524,0.0,50.0,100.0
120419,2844 WEBB AVENUE,Bronx,40.8730883,-73.9004234,72.3,Poorly managed,63,10,40,13,129,380.4,0.0,0.0,74.69387755102042,75.42857142857142,67.70147559591373,50.0,100.0
325317,742 LEXINGTON AVENUE,Brooklyn,40.6899124,-73.9294829,72.3,Poorly managed,5,0,2,3,13,1124.0,0.0,0.0,98.36734693877551,97.52380952380952,4.3984108967082935,50.0,100.0
915878,142-28 38 AVENUE,Queens,40.7615832,-73.8258277,72.4,Poorly managed,11,2,3,6,26,992.0,0.0,1.0,95.91836734693877,95.04761904761905,15.63564131668559,50.0,92.3076923076923
17208,126 EAST 83 STREET,Manhattan,40.7775223,-73.9575532,72.5,Poorly managed,4,1,2,1,8,1132.0,0.0,0.0,98.77551020408163,98.47619047619047,3.717366628830876,50.0,100.0
72229,687 EAST 234 STREET,Bronx,40.8945285,-73.8573235,72.5,Poorly managed,3,1,0,2,7,1144.0,0.0,0.0,99.18367346938776,98.66666666666667,2.6958002270147663,50.0,100.0
342063,283 NEPTUNE AVENUE,Brooklyn,40.581383,-73.9638447,72.5,Poorly managed,22,13,1,8,39,687.1,0.0,5.0,91.42857142857143,92.57142857142857,41.59194097616346,50.0,61.53846153846154
395839,511 WILLIAMS AVENUE,Brooklyn,40.6633187,-73.8972438,72.5,Poorly managed,18,11,4,3,28,795.0,0.0,4.0,93.06122448979592,94.66666666666667,32.40635641316686,50.0,69.23076923076923
3436,2030 ADAM C POWELL BOULEVARD,Manhattan,40.8070115,-73.9502629,72.6,Poorly managed,65,9,41,15,136,284.7,0.0,1.0,73.87755102040816,74.0952380952381,75.85239675194273,50.0,92.3076923076923
380805,23 TEHAMA STREET,Brooklyn,40.6445065,-73.9815611,72.6,Poorly managed,9,4,1,4,18,970.8,0.0,2.0,96.73469387755102,96.57142857142857,17.436824183045584,50.0,84.61538461538461
28287,92 ST NICHOLAS AVENUE,Manhattan,40.8019785,-73.9522316,72.6,Poorly managed,21,0,17,4,46,898.5,0.0,0.0,91.83673469387756,91.23809523809524,23.595346197502842,50.0,100.0
41571,552 WEST 141 STREET,Manhattan,40.8233376,-73.951584,72.6,Poorly managed,6,2,2,2,12,1103.0,0.0,0.0,97.95918367346938,97.71428571428571,6.186152099886499,50.0,100.0
887066,557 KNICKERBOCKER AVENUE,Brooklyn,40.6971707,-73.9148877,72.6,Poorly managed,38,18,12,8,66,626.1,0.0,2.0,84.89795918367346,87.42857142857143,46.780804641190564,50.0,84.61538461538461
113352,1430 THIERIOT AVENUE,Bronx,40.8367069,-73.8650186,72.6,Poorly managed,6,1,5,0,11,1102.0,0.0,0.0,97.95918367346938,97.90476190476191,6.271282633371178,50.0,100.0
525832,75-20 113 STREET,Queens,40.7186426,-73.8359001,72.6,Poorly managed,13,2,9,2,26,1009.0,0.0,0.0,95.10204081632652,95.04761904761905,14.188422247446086,50.0,100.0
83769,1319 HARROD AVENUE,Bronx,40.8325321,-73.8746646,72.6,Poorly managed,5,0,2,3,13,1102.0,0.0,0.0,98.36734693877551,97.52380952380952,6.271282633371178,50.0,100.0
178965,2214 84 STREET,Brooklyn,40.6026112,-73.9922898,72.7,Poorly managed,6,3,2,1,10,1098.0,0.0,0.0,97.95918367346938,98.09523809523809,6.611804767309881,50.0,100.0
60967,3242 DECATUR AVENUE,Bronx,40.8751488,-73.8743709,72.7,Poorly managed,8,0,8,0,16,1069.5,0.0,0.0,97.14285714285714,96.95238095238096,9.038024971623159,50.0,100.0
140742,460 15 STREET,Brooklyn,40.6612687,-73.9809474,72.7,Poorly managed,1,1,0,0,1,1161.0,0.0,0.0,100.0,99.80952380952381,1.2485811577752637,50.0,100.0
637323,140-65 BEECH AVENUE,Queens,40.7556841,-73.8217933,72.8,Poorly managed,65,5,30,30,155,83.8,0.0,4.0,73.87755102040816,70.47619047619047,92.95208793834757,50.0,69.23076923076923
25234,349 MANHATTAN AVENUE,Manhattan,40.8043658,-73.9576553,72.8,Poorly managed,1,0,0,1,3,1148.0,0.0,0.0,100.0,99.42857142857143,2.355278093076052,50.0,100.0
389921,1754 WEST 1 STREET,Brooklyn,40.6050433,-73.9746071,72.8,Poorly managed,17,11,1,5,28,920.6,0.0,1.0,93.46938775510203,94.66666666666667,21.71183314415438,50.0,92.3076923076923
121042,90 WEST 174 STREET,Bronx,40.8468625,-73.917566,72.8,Poorly managed,4,1,3,0,7,1119.0,0.0,0.0,98.77551020408163,98.66666666666667,4.824063564131675,50.0,100.0
87096,2147 HONEYWELL AVENUE,Bronx,40.8465071,-73.881408,72.9,Poorly managed,40,3,33,4,81,598.4,0.0,1.0,84.08163265306122,84.57142857142857,49.14384983804435,50.0,92.3076923076923
90281,3202 KOSSUTH AVENUE,Bronx,40.8787448,-73.8825366,72.9,Poorly managed,13,0,6,7,33,975.0,0.0,0.0,95.10204081632652,93.71428571428572,17.08286038592509,50.0,100.0
374870,575 ST MARKS AVENUE,Brooklyn,40.6759185,-73.9546328,72.9,Poorly managed,62,14,27,20,128,126.9,0.0,5.0,75.10204081632654,75.61904761904762,89.28064699205449,50.0,61.53846153846154
976243,221 BAY 35 STREET,Brooklyn,40.5951098,-73.994552,73.0,Poorly managed,12,5,3,4,23,1001.0,0.0,0.0,95.51020408163265,95.61904761904762,14.869466515323504,50.0,100.0
306694,128 HANCOCK STREET,Brooklyn,40.6822271,-73.9506985,73.0,Poorly managed,8,6,1,1,11,1065.6,0.0,0.0,97.14285714285714,97.90476190476191,9.366027909461172,50.0,100.0
221772,753 CLASSON AVENUE,Brooklyn,40.6745123,-73.959771,73.1,Poorly managed,68,7,39,22,151,193.3,0.0,1.0,72.6530612244898,71.23809523809524,83.63172015271903,50.0,92.3076923076923
27376,835 RIVERSIDE DRIVE,Manhattan,40.8358156,-73.9465083,73.1,Poorly managed,24,3,8,13,58,809.9,0.0,0.0,90.61224489795919,88.95238095238095,31.1400397275823,50.0,100.0
77407,854 FAILE STREET,Bronx,40.8183439,-73.8871991,73.2,Poorly managed,3,0,3,0,6,1102.0,0.0,0.0,99.18367346938776,98.85714285714286,6.271282633371178,50.0,100.0
347751,555 OCEAN AVENUE,Brooklyn,40.6492962,-73.9603087,73.2,Poorly managed,48,6,29,13,103,507.2,0.0,0.0,80.81632653061224,80.38095238095238,56.91110016490695,50.0,100.0
205958,2500 BEDFORD AVENUE,Brooklyn,40.6423911,-73.9547889,73.2,Poorly managed,44,0,32,12,100,548.0,0.0,0.0,82.44897959183673,80.95238095238095,53.43583846107891,50.0,100.0
812576,177 SILVER LAKE ROAD,Staten Island,40.6329829,-74.0969666,73.2,Poorly managed,14,4,6,4,28,963.0,0.0,0.0,94.6938775510204,94.66666666666667,18.10442678774121,50.0,100.0
294155,791 FLUSHING AVENUE,Brooklyn,40.7011917,-73.9411705,73.2,Poorly managed,37,20,9,8,62,429.0,0.0,6.0,85.3061224489796,88.19047619047619,63.56413166855845,50.0,53.84615384615385
347611,2909 OCEAN AVENUE,Brooklyn,40.5901553,-73.9492903,73.3,Poorly managed,4,0,2,2,10,1081.0,0.0,0.0,98.77551020408163,98.09523809523809,8.059023836549384,50.0,100.0
461997,40-16 68 STREET,Queens,40.745725,-73.8973982,73.3,Poorly managed,2,0,2,0,4,1113.0,0.0,0.0,99.59183673469387,99.23809523809524,5.334846765039735,50.0,100.0
807749,1680 BEDFORD AVENUE,Brooklyn,40.6650615,-73.9581006,73.3,Poorly managed,69,4,41,24,158,109.0,0.0,2.0,72.24489795918367,69.9047619047619,90.80734527405299,50.0,84.61538461538461
394225,2827 WEST 15 STREET,Brooklyn,40.5783708,-73.9826342,73.4,Poorly managed,9,0,5,4,22,1001.0,0.0,0.0,96.73469387755102,95.80952380952381,14.869466515323504,50.0,100.0
115191,1212 TINTON AVENUE,Bronx,40.8294471,-73.9000045,73.4,Poorly managed,6,2,4,0,10,1061.0,0.0,0.0,97.95918367346938,98.09523809523809,9.761634506242912,50.0,100.0
27716,187 SPRING STREET,Manhattan,40.7252536,-74.0028069,73.4,Poorly managed,25,14,11,0,36,849.0,0.0,0.0,90.20408163265307,93.14285714285714,27.809307604994327,50.0,100.0
78284,1175 FINDLAY AVENUE,Bronx,40.8323148,-73.9129297,73.4,Poorly managed,43,8,24,11,89,524.2,0.0,1.0,82.85714285714285,83.04761904761905,55.45708547978696,50.0,92.3076923076923
430235,21-63 42 STREET,Queens,40.7721322,-73.9038381,73.4,Poorly managed,1,0,1,0,2,1119.0,0.0,0.0,100.0,99.61904761904762,4.824063564131675,50.0,100.0
140603,246 15 STREET,Brooklyn,40.6648956,-73.9884546,73.5,Poorly managed,1,1,0,0,1,1113.0,0.0,0.0,100.0,99.80952380952381,5.334846765039735,50.0,100.0
133149,3921 7 AVENUE,Brooklyn,40.6479883,-73.9997405,73.5,Poorly managed,4,0,4,0,8,982.0,0.0,2.0,98.77551020408163,98.47619047619047,16.486946651532353,50.0,84.61538461538461
77308,1021 FAILE STREET,Bronx,40.8245468,-73.8898985,73.5,Poorly managed,1,0,0,1,3,1109.0,0.0,0.0,100.0,99.42857142857143,5.675368898978439,50.0,100.0
77304,1017 FAILE STREET,Bronx,40.8245468,-73.8898985,73.5,Poorly managed,1,0,0,1,3,1109.0,0.0,0.0,100.0,99.42857142857143,5.675368898978439,50.0,100.0
130821,5807 5 AVENUE,Brooklyn,40.64028,-74.0149318,73.5,Poorly managed,8,0,7,1,17,1019.0,0.0,0.0,97.14285714285714,96.76190476190476,13.337116912599322,50.0,100.0
220683,9617 CHURCH AVENUE,Brooklyn,40.6562051,-73.9151634,73.6,Poorly managed,2,0,2,0,4,1095.0,0.0,0.0,99.59183673469387,99.23809523809524,6.867196367763906,50.0,100.0
363929,639 ROGERS AVENUE,Brooklyn,40.6558781,-73.9527723,73.6,Poorly managed,5,0,0,5,15,1038.8,0.0,0.0,98.36734693877551,97.14285714285714,11.648694665153247,50.0,100.0
946108,929 40 STREET,Brooklyn,40.6450568,-73.9946704,73.7,Poorly managed,1,0,0,1,3,1097.0,0.0,0.0,100.0,99.42857142857143,6.69693530079456,50.0,100.0
807535,331 ALABAMA AVENUE,Brooklyn,40.668243,-73.8974417,73.7,Poorly managed,14,0,13,1,29,928.0,0.0,0.0,94.6938775510204,94.47619047619048,21.083995459704884,50.0,100.0
108503,2710 SEDGWICK AVENUE,Bronx,40.8699503,-73.9027132,73.7,Poorly managed,16,4,1,11,39,887.1,0.0,0.0,93.87755102040816,92.57142857142857,24.562185827793105,50.0,100.0
205827,1989 BEDFORD AVENUE,Brooklyn,40.6563104,-73.9561166,73.7,Poorly managed,65,27,33,5,108,209.1,0.0,3.0,73.87755102040816,79.42857142857143,82.28676828279553,50.0,76.92307692307692
373744,1456 ST JOHNS PLACE,Brooklyn,40.6702465,-73.9301129,73.7,Poorly managed,3,1,1,1,6,1074.0,0.0,0.0,99.18367346938776,98.85714285714286,8.654937570942112,50.0,100.0
43589,546 WEST 188 STREET,Manhattan,40.8530763,-73.9296678,73.8,Poorly managed,5,0,2,3,13,1034.0,0.0,0.0,98.36734693877551,97.52380952380952,12.060158910329177,50.0,100.0
398649,305 WYONA STREET,Brooklyn,40.671406,-73.8925233,73.8,Poorly managed,5,0,0,5,15,1025.9,0.0,0.0,98.36734693877551,97.14285714285714,12.746210856646856,50.0,100.0
386795,516 VERMONT STREET,Brooklyn,40.6666578,-73.8928482,73.8,Poorly managed,50,7,25,18,111,167.2,0.0,6.0,80.0,78.85714285714286,85.84704880817253,50.0,53.84615384615385
442354,41-29 53 STREET,Queens,40.7448691,-73.9112179,73.8,Poorly managed,4,3,0,1,6,1059.0,0.0,0.0,98.77551020408163,98.85714285714286,9.931895573212268,50.0,100.0
10207,1 DIVISION STREET,Manhattan,40.7138711,-73.9972838,73.8,Poorly managed,7,1,3,3,16,1010.0,0.0,0.0,97.55102040816327,96.95238095238096,14.103291713961408,50.0,100.0
248,158 1 AVENUE,Manhattan,40.7284447,-73.9843052,73.8,Poorly managed,7,2,1,4,16,963.4,0.0,1.0,97.55102040816327,96.95238095238096,18.067942273390635,50.0,92.3076923076923
99849,1420 NOBLE AVENUE,Bronx,40.8353686,-73.8707744,73.8,Poorly managed,66,0,0,65,195,85.5,0.0,0.0,73.46938775510203,62.857142857142854,92.81033949024868,50.0,100.0
